Flight_Date,Airline,Flight_Number,Origin_Airport,Destination_Airport,Scheduled_Departure_Hour,Scheduled_Departure_Minute,Day_of_Week,Month,Is_Weekend,Peak_Hour,Weather,Temperature_C,Humidity_pct,Wind_Speed_kmh,Visibility_km,Rainfall_mm,Cloud_Cover_pct,Origin_Congestion_Index,Previous_Flight_Delay_Minutes,Turnaround_Risk_Index,Departure_Delay,Delay_Target
2024-03-23,Alliance Air,AL9398,COK,BOM,11,14,5,3,1,0,Clear/Partly Cloudy,24.8,42.2,2.6,11.4,1.6,12.5,79.6,5,31.2,38,1
2024-01-24,Air India,AI3092,BLR,AKD,9,44,2,1,0,1,Clear/Partly Cloudy,23.4,64.0,4.7,11.0,0.9,22.3,76.1,5,35.2,66,1
2024-05-30,Air India,AI902,BOM,LKO,19,55,3,5,0,1,Clear/Partly Cloudy,24.2,55.3,7.8,8.9,0.0,39.3,67.4,2,32.1,73,1
2023-06-25,Air India,AI7318,COK,TCR,13,39,6,6,1,0,Clear/Partly Cloudy,37.9,42.6,5.0,10.0,2.0,23.8,53.2,6,25.7,33,1
2024-05-17,IndiGo,IN3486,BOM,BLR,23,4,4,5,0,0,Clear/Partly Cloudy,31.7,54.7,6.2,11.7,0.0,15.0,71.8,15,43.4,40,1
2024-03-23,SpiceJet,SP5868,HYD,IMF,20,10,5,3,1,1,Rain,21.3,62.3,8.2,10.0,7.6,24.7,88.6,6,43.4,47,1
2023-10-05,Air India,AI5456,MAA,DEL,16,38,3,10,0,0,Clear/Partly Cloudy,27.1,55.6,1.8,10.7,1.9,25.9,72.6,7,35.1,0,0
2023-12-13,SpiceJet,SP1833,BOM,COK,19,27,2,12,0,1,Clear/Partly Cloudy,23.4,55.0,10.1,10.9,0.3,36.6,94.6,11,50.3,51,1
2024-03-24,Akasa Air,AK558,COK,BOM,12,33,6,3,1,0,Clear/Partly Cloudy,26.7,72.0,7.0,8.0,0.5,22.4,87.7,12,41.6,52,1
2025-11-28,Akasa Air,AK6470,MAA,DEL,17,57,4,11,0,1,Clear/Partly Cloudy,27.2,44.7,5.2,12.2,0.0,38.1,91.1,6,37.8,47,1
2025-06-21,IndiGo,IN6381,CCU,DEL,17,34,5,6,1,1,Clear/Partly Cloudy,31.0,62.4,7.1,9.4,0.9,35.2,86.3,8,41.6,53,1
2025-07-29,IndiGo,IN8245,BLR,RAJ,18,54,1,7,0,1,Clear/Partly Cloudy,35.5,66.0,3.7,9.8,2.1,20.7,81.5,0,38.5,55,1
2023-11-09,Akasa Air,AK682,BLR,DEL,6,36,3,11,0,0,Clear/Partly Cloudy,18.4,72.3,2.6,12.7,1.5,31.7,71.1,7,33.8,47,1
2024-09-22,Air India,AI6840,HYD,BOM,6,37,6,9,1,0,Clear/Partly Cloudy,30.2,60.1,2.7,10.4,1.1,15.8,74.1,6,41.7,44,1
2024-04-05,Air India,AI984,HYD,DEL,22,41,4,4,0,0,Clear/Partly Cloudy,26.1,54.0,1.7,12.0,1.9,18.3,67.2,0,26.7,62,1
2025-10-18,IndiGo,IN7201,CCU,BOM,18,33,5,10,1,1,Rain,26.5,65.3,8.2,11.5,7.1,41.5,100.0,6,42.4,57,1
2025-05-30,IndiGo,IN7975,MAA,BLR,7,19,4,5,0,1,Clear/Partly Cloudy,32.6,38.5,1.6,11.4,0.0,0.0,85.0,2,36.7,46,1
2023-08-04,SpiceJet,SP6959,BLR,BOM,19,43,4,8,0,1,Clear/Partly Cloudy,32.3,59.5,22.0,12.4,0.0,4.8,92.3,2,28.5,50,1
2025-03-07,SpiceJet,SP1070,DEL,CCU,17,26,4,3,0,1,Clear/Partly Cloudy,25.9,52.9,3.3,12.7,0.0,31.1,100.0,2,37.1,60,1
2024-05-13,IndiGo,IN9170,AMD,COK,18,18,0,5,0,1,Rain,29.2,59.5,5.7,11.2,4.1,49.4,99.9,0,35.1,47,1
2025-03-29,Air India Express,AI795,HYD,COK,20,15,5,3,1,1,Clear/Partly Cloudy,18.0,41.3,4.6,10.7,1.4,25.4,100.0,19,52.5,62,1
2024-01-04,Star Air,ST4741,BLR,COK,8,52,3,1,0,1,Clear/Partly Cloudy,21.7,55.6,7.0,11.8,1.0,9.1,83.9,10,46.2,52,1
2024-09-06,SpiceJet,SP5656,HYD,CCU,8,30,4,9,0,1,Clear/Partly Cloudy,35.7,33.1,1.1,12.0,0.0,1.6,96.4,4,45.8,53,1
2023-11-14,Air India,AI7610,DEL,AMD,5,10,1,11,0,0,Rain,30.2,58.9,13.7,11.2,3.4,15.1,73.9,0,32.2,52,1
2025-04-28,Fly91,FL1668,BHU,DEL,16,5,0,4,0,0,Rain,32.2,66.5,4.8,10.3,4.1,43.5,38.9,11,28.6,40,1
2025-10-17,SpiceJet,SP3437,KNU,HYD,10,37,4,10,0,1,Clear/Partly Cloudy,32.9,55.2,3.4,10.6,0.4,29.6,71.7,0,30.7,46,1
2025-07-15,Air India Express,AI2921,DEL,RAJ,19,26,1,7,0,1,Rain,32.3,66.9,3.7,10.8,3.5,17.6,74.1,5,41.2,54,1
2023-02-28,Air India,AI9746,BLR,DEL,13,3,1,2,0,0,Clear/Partly Cloudy,22.4,64.5,5.0,13.1,0.4,28.0,73.4,5,27.3,40,1
2025-06-23,IndiGo,IN3028,COK,MAA,18,55,0,6,0,1,Clear/Partly Cloudy,29.3,46.7,5.7,11.8,3.0,26.9,100.0,4,34.0,52,1
2025-06-26,IndiGo,IN8418,BLR,IXW,14,17,3,6,0,0,Clear/Partly Cloudy,32.7,43.2,9.1,12.6,0.0,19.5,46.8,6,28.0,0,0
2025-06-06,Air India,AI8196,MAA,AMD,23,43,4,6,0,0,Clear/Partly Cloudy,30.3,55.5,3.4,11.5,0.7,0.0,61.8,9,40.7,38,1
2024-04-09,Air India,AI3031,BLR,DEL,21,26,1,4,0,1,Rain,29.7,65.5,12.6,9.0,4.4,36.5,93.0,0,39.1,55,1
2024-04-24,Vistara,VI5554,AMD,DEL,22,52,2,4,0,0,Clear/Partly Cloudy,22.5,43.1,8.6,10.7,0.6,23.8,79.1,11,34.4,49,1
2024-11-16,IndiGo,IN3597,BKB,BLR,5,32,5,11,1,0,Clear/Partly Cloudy,29.0,55.8,1.9,12.7,0.5,7.7,57.9,5,27.3,44,1
2024-03-28,IndiGo,IN911,JRH,AMD,18,46,3,3,0,1,Rain,25.1,61.9,2.9,9.5,3.4,25.1,64.8,1,24.7,38,1
2023-05-08,IndiGo,IN3406,CCU,IDR,11,9,0,5,0,0,Clear/Partly Cloudy,28.1,65.7,3.1,10.1,0.0,24.7,52.8,14,32.0,50,1
2023-09-06,IndiGo,IN9391,DEL,GOP,18,1,2,9,0,1,Clear/Partly Cloudy,26.7,51.6,8.0,12.0,0.0,24.7,69.3,11,44.4,42,1
2025-01-10,Fly91,FL7405,AGR,VNS,17,25,4,1,0,1,Clear/Partly Cloudy,25.8,65.2,4.3,12.3,0.0,7.9,45.5,0,22.7,0,0
2025-02-05,IndiGo,IN213,DEL,DED,20,20,2,2,0,1,Clear/Partly Cloudy,21.5,60.8,5.0,11.0,0.3,19.1,77.9,8,37.9,41,1
2025-08-21,IndiGo,IN1642,BOM,BHJ,18,53,3,8,0,1,Clear/Partly Cloudy,27.3,63.4,5.6,8.8,1.5,15.0,84.2,2,38.5,50,1
2023-12-16,Air India,AI5124,BOM,COK,9,30,5,12,1,1,Clear/Partly Cloudy,20.7,51.1,9.4,10.0,1.9,32.8,96.8,1,39.2,70,1
2025-08-05,Akasa Air,AK3069,CCU,BLR,22,35,1,8,0,0,Clear/Partly Cloudy,36.7,69.5,10.2,10.1,0.0,29.4,75.2,0,30.4,46,1
2024-08-19,Air India Express,AI1894,HYD,BLR,18,58,0,8,0,1,Clear/Partly Cloudy,32.8,63.2,2.3,12.5,0.0,17.5,92.4,0,37.6,50,1
2024-06-09,Vistara,VI4369,DEL,MAA,7,52,6,6,1,1,Clear/Partly Cloudy,36.4,43.5,3.6,12.2,2.3,6.7,100.0,6,47.7,53,1
2025-05-23,Air India Express,AI2530,DEL,BOM,10,40,4,5,0,1,Clear/Partly Cloudy,32.2,55.6,5.6,13.2,2.2,35.3,90.5,4,39.6,65,1
2023-09-11,IndiGo,IN3262,MAA,HYD,20,47,0,9,0,1,Clear/Partly Cloudy,27.7,58.0,2.3,11.6,0.0,38.3,98.1,1,42.6,52,1
2023-09-24,Alliance Air,AL7642,HYD,DEL,20,5,6,9,1,1,Clear/Partly Cloudy,34.7,56.8,7.3,10.7,1.3,23.4,100.0,1,38.9,56,1
2025-11-11,Air India Express,AI2717,MAA,CCU,6,54,1,11,0,0,Clear/Partly Cloudy,26.1,46.7,13.2,12.2,0.0,0.0,78.5,10,45.0,46,1
2025-04-14,Fly91,FL4081,MAA,AMD,13,59,0,4,0,0,Rain,24.6,60.4,4.2,12.9,3.9,24.3,68.6,6,36.1,39,1
2024-04-28,Air India Express,AI4454,SHL,DHM,6,4,6,4,1,0,Clear/Partly Cloudy,24.3,37.5,2.8,10.9,0.0,36.2,32.1,0,16.0,0,0
2023-05-17,Air India Express,AI7096,GWL,BOM,8,1,2,5,0,1,Clear/Partly Cloudy,23.2,45.7,3.8,11.9,0.6,28.5,67.7,0,23.3,35,1
2025-03-23,Air India,AI9220,BOM,DHM,18,49,6,3,1,1,Rain,19.7,49.2,8.9,11.0,6.2,30.1,79.6,15,42.9,61,1
2025-03-18,Akasa Air,AK6788,SXV,AMD,5,52,1,3,0,0,Rain,24.3,69.6,3.3,8.7,5.8,40.2,31.6,0,22.2,0,0
2023-03-28,IndiGo,IN4762,AMD,IXR,13,17,1,3,0,0,Clear/Partly Cloudy,22.0,52.3,7.9,10.4,0.5,9.5,45.9,1,18.9,0,0
2023-11-28,IndiGo,IN846,CCU,COK,14,1,1,11,0,0,Clear/Partly Cloudy,22.7,53.6,2.5,11.4,0.0,10.3,69.9,19,41.6,50,1
2023-02-14,IndiGo,IN939,CCU,DEL,7,47,1,2,0,1,Clear/Partly Cloudy,18.9,46.2,9.8,9.2,2.9,24.7,89.7,12,37.1,50,1
2023-03-06,IndiGo,IN6164,MAA,RPR,14,33,0,3,0,0,Clear/Partly Cloudy,25.4,63.8,2.0,10.9,2.0,20.2,46.6,6,31.3,45,1
2024-12-20,IndiGo,IN5558,ISK,CCU,10,24,4,12,0,1,Rain,25.4,65.1,6.7,10.8,9.5,32.5,75.9,2,29.4,60,1
2024-04-25,Vistara,VI2504,BOM,TIR,17,57,3,4,0,1,Clear/Partly Cloudy,27.9,46.0,2.5,10.8,1.0,26.3,77.2,10,32.6,62,1
2024-11-03,IndiGo,IN2934,MAA,DEL,20,54,6,11,1,1,Rain,23.9,58.7,9.3,11.3,3.4,31.0,96.5,0,45.0,59,1
2023-05-24,IndiGo,IN9011,PNQ,BOM,20,55,2,5,0,1,Clear/Partly Cloudy,33.0,61.3,3.2,12.5,0.2,12.3,77.6,7,36.6,52,1
2025-10-04,Air India,AI2251,DEL,IXU,6,19,5,10,1,0,Clear/Partly Cloudy,30.3,74.9,3.0,10.4,0.0,37.6,44.8,20,33.8,46,1
2024-10-23,Air India,AI3678,CCU,GOI,11,2,2,10,0,0,Rain,30.1,65.5,1.8,11.2,7.6,31.5,51.6,2,20.5,37,1
2023-10-13,IndiGo,IN3266,BLR,DEL,8,41,4,10,0,1,Clear/Partly Cloudy,27.0,56.8,3.0,13.5,0.0,10.4,86.2,17,49.5,75,1
2023-06-13,IndiGo,IN4493,AMD,ATQ,23,45,1,6,0,0,Clear/Partly Cloudy,27.8,56.2,6.0,11.3,2.6,53.4,55.2,3,28.6,45,1
2024-06-03,Air India,AI5561,DEL,IXM,18,48,0,6,0,1,Clear/Partly Cloudy,32.6,64.0,7.9,10.2,1.6,41.7,75.3,2,32.1,46,1
2024-01-26,IndiGo,IN2802,MAA,CCU,21,5,4,1,0,1,Clear/Partly Cloudy,26.3,60.1,22.0,14.0,0.0,30.3,84.7,7,40.2,48,1
2023-12-20,IndiGo,IN8815,BHO,AMD,16,57,2,12,0,0,Clear/Partly Cloudy,23.8,53.2,2.8,12.2,0.0,15.5,38.1,6,35.0,0,0
2025-08-06,IndiGo,IN9630,CCU,HYD,7,26,2,8,0,1,Clear/Partly Cloudy,27.1,44.0,3.9,13.1,2.2,32.1,91.3,1,27.9,47,1
2025-09-01,IndiGo,IN5721,BLR,DEL,10,45,0,9,0,1,Clear/Partly Cloudy,26.0,40.5,3.4,9.6,2.5,2.1,85.3,12,32.2,56,1
2023-11-03,SpiceJet,SP935,CCU,DEL,6,54,4,11,0,0,Clear/Partly Cloudy,22.3,53.6,0.6,8.0,1.0,0.0,77.0,13,45.7,54,1
2025-02-28,SpiceJet,SP4618,BLR,DEL,12,56,4,2,0,0,Clear/Partly Cloudy,25.6,48.8,4.7,9.8,0.0,0.0,57.9,13,40.2,52,1
2025-01-21,IndiGo,IN8129,CCU,BLR,6,43,1,1,0,0,Clear/Partly Cloudy,15.9,51.7,1.0,10.5,0.0,33.6,81.8,4,39.4,47,1
2025-05-01,Air India,AI9800,DEL,BOM,17,50,3,5,0,1,Clear/Partly Cloudy,28.5,47.9,9.9,12.4,0.0,21.6,88.7,3,25.9,53,1
2024-05-24,Akasa Air,AK623,BOM,DEL,8,4,4,5,0,1,Clear/Partly Cloudy,31.7,46.4,8.0,11.2,0.0,17.8,90.2,6,42.3,68,1
2025-08-24,Air India,AI1848,DEL,HYD,17,17,6,8,1,1,Clear/Partly Cloudy,37.4,65.4,7.0,11.4,2.8,29.3,100.0,16,48.0,64,1
2023-03-08,IndiGo,IN6733,DEL,JDH,7,38,2,3,0,1,Clear/Partly Cloudy,24.7,50.5,9.0,11.4,1.6,14.3,70.9,0,32.5,47,1
2025-02-26,IndiGo,IN5225,MAA,PAT,18,31,2,2,0,1,Clear/Partly Cloudy,19.9,47.7,7.3,11.4,0.9,32.1,69.4,5,31.0,35,1
2023-05-03,IndiGo,IN2693,BOM,BLR,5,49,2,5,0,0,Clear/Partly Cloudy,31.3,54.9,11.4,11.1,0.0,30.4,62.6,2,37.5,38,1
2025-06-21,IndiGo,IN6307,HYD,AMD,20,20,5,6,1,1,Clear/Partly Cloudy,37.6,59.3,6.4,11.0,0.0,12.4,95.1,13,49.4,62,1
2024-01-30,Air India,AI2673,CCU,COK,8,21,1,1,0,1,Clear/Partly Cloudy,28.6,79.3,1.0,9.8,0.0,33.6,100.0,3,40.6,48,1
2023-05-21,SpiceJet,SP2444,IXA,DEL,14,6,6,5,1,0,Clear/Partly Cloudy,32.1,63.4,1.4,9.4,0.0,6.0,51.8,0,19.2,0,0
2025-04-16,Akasa Air,AK6839,BLR,MAA,19,57,2,4,0,1,Clear/Partly Cloudy,22.8,51.6,5.6,10.1,1.6,19.2,100.0,0,47.7,54,1
2025-10-03,IndiGo,IN3294,BLR,COK,19,14,4,10,0,1,Rain,31.0,76.5,2.0,10.4,3.1,46.4,82.2,6,39.1,0,0
2025-02-13,IndiGo,IN5965,BLR,COK,7,20,3,2,0,1,Clear/Partly Cloudy,24.1,48.8,6.2,9.8,0.0,11.9,90.1,0,39.2,56,1
2023-06-21,IndiGo,IN1555,DEL,IXB,10,10,2,6,0,1,Clear/Partly Cloudy,31.1,49.8,18.5,9.2,0.4,23.6,68.2,6,36.9,39,1
2024-07-11,IndiGo,IN5054,CCU,HYD,16,36,3,7,0,0,Clear/Partly Cloudy,30.5,41.3,5.3,9.6,0.0,3.2,56.9,4,31.2,46,1
2024-12-06,Air India,AI5728,LKO,DEL,15,59,4,12,0,0,Clear/Partly Cloudy,21.4,67.6,0.8,8.9,0.0,42.4,43.5,0,28.5,0,0
2025-04-06,Air India Express,AI8015,HYD,BLR,19,26,6,4,1,1,Rain,24.5,40.6,1.8,10.4,8.8,25.2,100.0,19,52.4,63,1
2025-03-02,IndiGo,IN8642,MAA,CCU,21,6,6,3,1,1,Clear/Partly Cloudy,31.0,71.5,4.5,10.6,0.0,33.9,100.0,4,46.5,48,1
2023-09-28,SpiceJet,SP3079,BKB,IXM,17,29,3,9,0,1,Clear/Partly Cloudy,32.7,65.1,5.9,10.3,0.0,31.0,37.8,6,27.6,0,0
2023-11-06,SpiceJet,SP4471,COK,BOM,11,20,0,11,0,0,Clear/Partly Cloudy,23.9,57.6,2.4,10.5,1.0,34.6,76.7,0,38.3,41,1
2024-02-12,Alliance Air,AL3048,COK,BOM,20,4,0,2,0,1,Rain,22.9,76.1,2.4,9.7,4.2,36.6,77.6,1,34.7,55,1
2025-04-28,Akasa Air,AK3929,SHL,VTU,7,31,0,4,0,1,Clear/Partly Cloudy,25.4,53.9,7.5,12.3,1.5,45.0,45.1,14,44.4,39,1
2025-01-08,Air India Express,AI2880,BOM,DEL,22,21,2,1,0,0,Clear/Partly Cloudy,17.8,57.7,6.7,11.5,1.9,28.8,78.9,8,42.7,48,1
2024-02-10,Air India,AI3028,CCU,MAA,10,15,5,2,1,1,Clear/Partly Cloudy,22.0,49.1,22.9,12.0,0.0,2.5,100.0,7,54.2,54,1
2024-11-11,IndiGo,IN3526,COK,MAA,18,19,0,11,0,1,Clear/Partly Cloudy,26.2,49.2,4.0,11.4,0.0,9.1,92.4,3,40.2,0,0
2024-08-05,Air India Express,AI7568,CJB,HYD,12,38,0,8,0,0,Clear/Partly Cloudy,33.8,46.5,12.5,10.9,1.1,0.0,35.9,14,34.7,33,1
2024-01-17,IndiGo,IN4436,BLR,IDR,8,8,2,1,0,1,Clear/Partly Cloudy,23.2,48.0,1.5,12.0,1.4,8.4,79.9,8,34.2,52,1
2025-03-22,Alliance Air,AL4735,COK,DEL,6,46,5,3,1,0,Clear/Partly Cloudy,19.0,39.8,10.7,11.7,1.3,27.1,59.2,2,28.3,34,1
2024-10-30,Air India,AI9477,MAA,AMD,14,16,2,10,0,0,Clear/Partly Cloudy,30.7,53.9,3.1,13.8,0.0,0.0,52.2,5,24.9,55,1
2023-02-04,IndiGo,IN7637,BLR,BOM,19,21,5,2,1,1,Clear/Partly Cloudy,21.5,46.9,3.0,12.4,0.0,11.2,100.0,2,49.5,89,1
2025-10-26,IndiGo,IN4206,DEL,BOM,19,51,6,10,1,1,Clear/Partly Cloudy,24.7,35.9,15.8,12.3,1.9,10.4,100.0,0,44.5,0,0
2024-11-04,IndiGo,IN3699,BLR,DIB,9,10,0,11,0,1,Rain,23.8,54.0,20.2,10.8,3.9,30.9,67.1,4,41.2,44,1
2024-05-26,Air India,AI8286,PBD,BOM,16,4,6,5,1,0,Clear/Partly Cloudy,30.2,54.3,1.2,11.7,0.0,15.1,54.8,2,35.3,43,1
2025-01-10,IndiGo,IN2674,BOM,DEL,16,5,4,1,0,0,Clear/Partly Cloudy,20.8,46.4,6.9,10.1,0.0,23.8,70.0,6,36.5,39,1
2023-08-20,IndiGo,IN6210,DEL,CCU,15,34,6,8,1,0,Rain,35.9,65.1,13.2,12.7,3.1,28.7,76.1,4,37.0,34,1
2024-02-17,Akasa Air,AK9370,BLR,VGA,14,39,5,2,1,0,Clear/Partly Cloudy,23.2,55.8,9.7,12.1,1.8,38.1,57.9,0,24.6,47,1
2024-08-07,Air India,AI8461,DEL,BHJ,11,29,2,8,0,0,Clear/Partly Cloudy,30.4,54.0,2.1,12.9,1.3,28.8,61.3,0,29.8,74,1
2024-07-09,SpiceJet,SP435,BOM,BLR,22,16,1,7,0,0,Rain,29.2,54.6,9.8,9.8,5.5,32.5,65.6,10,29.1,42,1
2023-09-19,Air India Express,AI9773,IXY,AMD,12,7,1,9,0,0,Clear/Partly Cloudy,30.6,52.6,8.7,10.9,0.0,0.0,41.6,9,27.0,0,0
2025-10-27,Vistara,VI2271,BLR,DEL,15,13,0,10,0,0,Clear/Partly Cloudy,17.2,60.5,8.0,12.6,0.0,34.5,66.6,1,32.2,45,1
2023-08-13,Akasa Air,AK5953,MAA,DEL,11,47,6,8,1,0,Clear/Partly Cloudy,30.9,67.9,11.6,12.4,1.2,24.5,76.9,3,32.8,47,1
2023-02-15,Air India Express,AI6469,BOM,ATQ,5,5,2,2,0,0,Rain,21.1,54.8,7.6,9.8,8.4,45.9,50.3,2,22.9,41,1
2024-11-23,IndiGo,IN6084,CCU,MAA,14,2,5,11,1,0,Clear/Partly Cloudy,23.9,62.3,7.6,10.6,0.0,29.4,80.1,0,34.1,52,1
2025-11-29,IndiGo,IN7592,DEL,HYD,23,48,5,11,1,0,Clear/Partly Cloudy,29.0,49.5,7.0,10.7,1.3,29.0,78.5,4,39.5,46,1
